                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76295,                 1.5416,                 2.5064,                 1.1063,                0.73878,                0.35885,                 0.5671,                0.43977,                0.74863,                0.36364,                0.58449,                0.47928,                0.73033,                 1.2482,                 2.5002,                 1.0717,               0.070417,               0.003287,               0.003287
                      1,                 0.7467,                 1.2301,                 1.7545,                 1.0707,                0.60714,                0.56936,                0.51994,                0.41459,                0.61734,                0.57893,                0.52592,                0.42768,                0.82328,                  1.433,                 2.0142,                 1.1601,               0.040351,              0.0065548,              0.0065548
                      2,                 0.8366,                 1.3565,                 1.6779,                  1.118,                0.38137,                0.44019,                0.33933,                0.22647,                0.39381,                0.45455,                0.34559,                0.23024,                 1.0435,                 2.1161,                 2.3325,                 1.3849,                0.01022,              0.0097566,              0.0097566
                      3,                0.88891,                 1.4889,                 1.6699,                 1.1419,                0.48004,                0.48804,                0.41254,                0.28381,                0.48676,                0.49282,                0.41496,                0.30268,                 1.0616,                  2.025,                 2.1107,                 1.3674,               0.009703,               0.009703,               0.009703
                      4,                0.93963,                 1.4625,                 1.6862,                 1.1747,                0.56437,                 0.4067,                0.42039,                0.28672,                0.57458,                0.42584,                0.44483,                0.30903,                 1.0843,                 2.4798,                 2.1095,                 1.4671,               0.009703,               0.009703,               0.009703
                      5,                0.92862,                 1.4824,                 1.5857,                 1.1849,                0.66319,                0.49934,                0.54245,                 0.3827,                0.61914,                0.53669,                0.55573,                0.40761,                 1.0698,                 1.8158,                 1.8732,                 1.4126,               0.009604,               0.009604,               0.009604
                      6,                0.93195,                 1.4303,                  1.558,                 1.1882,                0.48194,                0.47368,                0.41053,                0.27919,                0.49371,                0.47368,                 0.4037,                0.26596,                 1.1076,                  2.867,                 2.3061,                 1.4474,               0.009505,               0.009505,               0.009505
                      7,                0.91448,                 1.4889,                 1.5094,                 1.1842,                0.63148,                0.51675,                 0.5397,                0.34024,                0.65975,                0.52884,                0.56812,                0.40686,                 1.1331,                 1.8345,                  1.685,                 1.4494,               0.009406,               0.009406,               0.009406
                      8,                0.87712,                 1.3645,                 1.4139,                 1.1566,                0.59125,                0.59809,                0.54877,                0.39603,                0.60616,                0.60766,                0.56469,                0.41692,                 1.0431,                 1.7675,                 1.6391,                 1.3802,               0.009307,               0.009307,               0.009307
                      9,                0.88292,                 1.3549,                 1.4132,                 1.1566,                 0.5914,                0.55024,                0.54858,                0.37968,                0.60248,                0.55981,                0.55586,                0.39806,                 1.0476,                 1.6093,                 1.6389,                 1.3625,               0.009208,               0.009208,               0.009208
                     10,                0.85085,                 1.2539,                 1.3705,                 1.1369,                0.72641,                0.58852,                 0.5826,                0.42904,                0.72017,                0.58373,                0.57563,                0.46087,                0.97206,                 1.5969,                 1.4904,                 1.2832,               0.009109,               0.009109,               0.009109
                     11,                0.82897,                 1.2303,                 1.3223,                 1.1229,                0.75997,                0.53023,                0.61082,                0.46326,                0.76058,                0.53199,                0.61117,                0.48937,                0.89781,                  1.528,                 1.3825,                  1.252,                0.00901,                0.00901,                0.00901
                     12,                0.80862,                 1.2432,                 1.2921,                 1.1094,                0.69301,                0.58326,                0.60382,                0.47264,                0.69869,                0.58805,                0.60789,                0.49338,                 0.8933,                 1.6135,                 1.3889,                  1.254,               0.008911,               0.008911,               0.008911
                     13,                0.84423,                 1.3154,                 1.3402,                 1.1405,                0.64772,                0.58373,                 0.6079,                  0.461,                 0.6537,                0.58852,                0.61321,                  0.484,                0.93044,                 1.6363,                 1.3523,                 1.2984,               0.008812,               0.008812,               0.008812
                     14,                0.80692,                 1.2215,                 1.2923,                 1.1226,                0.61029,                0.62201,                0.62022,                0.48126,                0.63092,                0.63636,                0.63823,                0.51348,                0.90534,                 1.4047,                 1.3538,                  1.245,               0.008713,               0.008713,               0.008713
                     15,                0.79444,                 1.2483,                 1.2818,                 1.1172,                0.63639,                0.60287,                0.59854,                0.44355,                0.62508,                0.59809,                0.59271,                0.46685,                0.93031,                 1.7085,                 1.4378,                 1.2745,               0.008614,               0.008614,               0.008614
                     16,                0.80487,                 1.2555,                 1.2795,                 1.1087,                 0.6265,                 0.5933,                 0.5945,                0.45531,                0.62143,                0.60766,                0.59948,                0.49179,                0.90726,                 1.4605,                 1.3864,                 1.2757,               0.008515,               0.008515,               0.008515
                     17,                0.79144,                 1.2484,                 1.2293,                 1.1115,                0.59863,                0.57895,                0.55052,                0.41985,                0.60539,                0.58373,                0.55192,                0.44353,                0.97106,                 1.5747,                 1.4971,                 1.3082,               0.008416,               0.008416,               0.008416
                     18,                0.78992,                 1.1887,                 1.2447,                 1.1059,                0.66461,                 0.5933,                0.59988,                0.46511,                0.66461,                 0.5933,                0.59543,                 0.4738,                0.89284,                 1.8369,                 1.3505,                 1.2586,               0.008317,               0.008317,               0.008317
